,Drink,Tags,Category,IBA,Alcoholic type,Glass type,Inuctions,DrinkThumb,Ingredient1,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Measure1,Measure2,Measure3,Measure4,Measure5,Measure6,,,
17210,Bramble,"IBA,NewEra",Ordinary Drink,New Era Drinks,Alcoholic,Old-fashioned glass,"Fill glass with crushed ice. Build Gin, Lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and Lemon slice.",https://www.thecocktaildb.com/images/media/drink/twtbh51630406392.jpg,Gin,Creme de Mure,Sugar Syrup,Lemon juice,,,40 ml,15 ml,10 ml,15 ml,,,,,
11060,Balmoral,,Ordinary Drink,,Alcoholic,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/vysuyq1441206297.jpg,Scotch,Vermouth,Bitters,,,,44.25 ml,14.75 ml,1.6 ml,,,,,,
11120,Bluebird,,Ordinary Drink,,Alcoholic,Cocktail glass,"In a mixing glass half-filled with crushed ice, combine the Gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the Lemon twist and the cherry.",https://www.thecocktaildb.com/images/media/drink/5jhyd01582579843.jpg,Gin,Triple sec,Blue Curacao,Bitters,Maraschino cherry,Lemon peel,44.25 ml,14.75 ml,14.75 ml,1.6 ml,1,1,,,
178310,Brooklyn,"Alcoholic,Sweet,DateNight,USA",Cocktail,,Alcoholic,Cocktail glass,Combine ingredients with ice and stir until well-chilled. Strain into a chilled cocktail glass.,https://www.thecocktaildb.com/images/media/drink/ojsezf1582477277.jpg,Rye whiskey,Vermouth,Maraschino liqueur,Bitters,Maraschino cherry,,59 ml,29.5 ml,7.38 ml,2.4 ml ,1,,,,
12572,Bora Bora,,Cocktail,,Non alcoholic,Highball glass,"Prepare in a blender or shaker, serve in a highball glass on the rocks. Garnish with 1 slice of pineapple and one cherry.",https://www.thecocktaildb.com/images/media/drink/xwuqvw1473201811.jpg,Pineapple juice,Passion fruit juice,Lemon juice,Grenadine,,,100 ml,60 ml,10 ml,10 ml,,,,,
11124,Boomerang,,Ordinary Drink,,Alcoholic,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine the Gin, vermouth, bitters, and Maraschino liqueur. Stir well. Strain into a cocktail glass and garnish with the cherry.",https://www.thecocktaildb.com/images/media/drink/3m6yz81504389551.jpg,Gin,Vermouth,Bitters,Maraschino liqueur,Maraschino cherry,,59 ml,14.75 ml,1.6 ml,15 ml,1,,,,
17209,Barracuda,"IBA,NewEra",Ordinary Drink,New Era Drinks,Alcoholic,Margarita glass,"Shake pour ingredients with ice. Strain into glass, top with Sparkling wine.",https://www.thecocktaildb.com/images/media/drink/jwmr1x1504372337.jpg,Rum,Galliano,Pineapple juice,Lime juice,Prosecco,,45 ml,15 ml,60 ml,0.8 ml,20 ml,,,,
17825,Brigadier,,Cocktail,,Alcoholic,Cocktail glass,Mix ingredients in a warmed mug and stir.,https://www.thecocktaildb.com/images/media/drink/nl89tf1518947401.jpg,Hot Chocolate,Green Chartreuse,Cherry Heering,,,,118 ml,29.5 ml,29.5 ml,,,,,,
178311,Broadside,,Cocktail,,Alcoholic,Highball glass,"Half fill the glass with ice cubes. Crush the wormwood and add to ice. Pour rum, scotch and butters, then serve!",https://www.thecocktaildb.com/images/media/drink/l2o6xu1582476870.jpg,151 proof rum,Scotch,Bitters,Wormwood,Ice,,25 ml,12.5 ml,0.15 ml,1,3,,,,
17035,Buccaneer,,Beer,,Alcoholic,Pilsner glass,Pour the corona into an 18oz beer glass pour the bacardi limon into the beer stir very gently,https://www.thecocktaildb.com/images/media/drink/upvtyt1441249023.jpg,Corona,Bacardi Limon,,,,,335 ml,25 ml,,,,,,,
11106,Blackthorn,,Ordinary Drink,,Alcoholic,Cocktail glass,Stir sloe Gin and vermouth with ice and strain into a cocktail glass. Add the twist of Lemon peel and serve.,https://www.thecocktaildb.com/images/media/drink/dgj92f1616098672.jpg,Vermouth,Sloe Gin,Lemon peel,,,,29.5 ml,44.25 ml,1,,,,,,
13395,Bob Marley,,Shot,,Alcoholic,Shot glass,Layer in a 59 ml shot glass or pony glass,https://www.thecocktaildb.com/images/media/drink/rrqrst1477140664.jpg,Midori melon liqueur,Jägermeister,Goldschlager,,,,14.75 ml,14.75 ml,14.75 ml,,,,,,
16986,Bible Belt,,Other / Unknown,,Alcoholic,Highball glass,"Mix all ingredients, and pour over ice.",https://www.thecocktaildb.com/images/media/drink/6bec6v1503563675.jpg,Southern Comfort,Triple sec,Lime,Sour mix,,,59 ml,14.75 ml,2,59 ml,,,,,
14538,Bumble Bee,,Shot,,Alcoholic,Shot glass,"This is a layered shot. First pour the Bailey's into the shot glass. Then take an upside down spoon and touch it to the inside wall of the glass. Carefully add the Kahlua. Repeat this process for the Sambuca. If done properly, the alcohol will stay separated and resemble a bumble bee. Enjoy!!!",https://www.thecocktaildb.com/images/media/drink/uwqpvv1461866378.jpg,Baileys irish cream,Kahlua,Sambuca,,,,9.83 ml,9.83 ml,9.83 ml,,,,,,
15511,Baby Eskimo,,Shake,,Alcoholic,Collins glass,"Leave ice-cream out for about 10 minutes. Add ingredients in order, stir with chopstick (butter knife or spoon works too). Consume immediately and often. Nice and light, great for following a heavy drink.",https://www.thecocktaildb.com/images/media/drink/wywrtw1472720227.jpg,Kahlua,Milk,Vanilla ice-cream,,,,59 ml,236 ml,60 ml,,,,,,
11129,Boston Sour,,Ordinary Drink,,Alcoholic,Old-fashioned glass,"Shake juice of Lemon, powdered sugar, blended whiskey, and egg white with cracked ice and strain into a whiskey sour glass. Add the slice of Lemon, top with the cherry, and serve.",https://www.thecocktaildb.com/images/media/drink/kxlgbi1504366100.jpg,Blended whiskey,Lemon juice ,Powdered sugar,Egg white,Cherry,,59 ml,25 ml ,5 gr,1,1,,,,
17267,Bahama Mama,,Cocktail,,Alcoholic,Highball glass,"Add 59 ml club soda or more or less to taste.

Mix it all together and pour over a bunch of ice. Drink with a straw.",https://www.thecocktaildb.com/images/media/drink/tyb4a41515793339.jpg,Rum,Dark rum,Banana liqueur,Grenadine,Pineapple juice,Orange juice,88.5 ml ,29.5 ml,29.5 ml,29.5 ml,59 ml ,59 ml ,,,
17185,Casino,IBA,Ordinary Drink,Unforgettables,Alcoholic,Cocktail glass,Pour all ingredients into shaker with ice cubes. Shake well. Strain into chilled cocktail glass. Garnish with a Lemon twist and a maraschino cherry. Serve without a straw.,https://www.thecocktaildb.com/images/media/drink/1mvjxg1504348579.jpg,Gin,Maraschino liqueur,Lemon juice,Orange bitters,Cherry,,59 ml,1.25 ml,1.25 ml,1.6 ml,1,,,,
14181,Cafe Savoy,,Coffee / Tea,,Alcoholic,Coffee mug,"Fill mug almost to top with coffee.Add milk, triple sec and brandy. Stir.",https://www.thecocktaildb.com/images/media/drink/vqwptt1441247711.jpg,Coffee,Milk,Triple sec,Brandy,,,88.5 ml,14.75 ml,14.75 ml,14.75 ml,,,,,
11202,Caipirinha,"ContemporaryClassic,IBA",Ordinary Drink,Contemporary Classics,Alcoholic,Old-fashioned glass,Place lime and sugar into old fashioned glass and muddle (mash the two ingredients together using a muddler or a wooden spoon). Fill the glass with ice and add the Cachaça.,https://www.thecocktaildb.com/images/media/drink/jgvn7p1582484435.jpg,Sugar,Lime juice,Cachaça,Lime ,Ice,,10 gr,12.5 ml,73.75 ml,1 slice,6 cubes ,,,,
14608,Cream Soda,,Cocktail,,Alcoholic,Highball glass,Pour 1oz of Spiced Rum into a highball glass with ice. Fill with Ginger Ale.,https://www.thecocktaildb.com/images/media/drink/yqstxr1479209367.jpg,Spiced rum,Ginger ale,,,,,50 ml,150 ml,,,,,,,
13751,Cuba Libra,,Ordinary Drink,,Alcoholic,Highball glass,Fill tall glass with ice cubes. Add rum. Rub cut edge of lime on rim of glass then squeeze juice into glass. Fill with Coca-Cola. Garnish with lime slice. Enjoy!,https://www.thecocktaildb.com/images/media/drink/ck6d0p1504388696.jpg,Dark rum,Lime,Coca-Cola,Ice,,,25 ml,5.9 ml,3,,,,,,
11239,Cherry Rum,,Ordinary Drink,,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/twsuvr1441554424.jpg,Light rum,Cherry brandy,Light cream,,,,36.8 ml,7.5 ml,15 ml,,,,,,
11288,Cuba Libre,"IBA,ContemporaryClassic",Ordinary Drink,Contemporary Classics,Alcoholic,Highball glass,Build all ingredients in a Collins glass filled with ice. Garnish with lime wedge.,https://www.thecocktaildb.com/images/media/drink/wmkbfj1606853905.jpg,Light rum,Lime juice ,Coca-Cola,,,,59 ml,25 ml ,,,,,,,
17830,Corn n Oil,,Cocktail,,Alcoholic,Old-fashioned glass,"Cut the half lime in half again. Add the lime, falernum, and bitters to a rocks glass. Muddle. Add the rum. (Aged Barbados rum such as Plantation 5 Year is recommended). Add ice and stir. Float the Blackstrap rum on top. Serve with a straw.",https://www.thecocktaildb.com/images/media/drink/pk6dwi1592767243.jpg,Lime,Falernum,Bitters,Añejo rum,Blackstrap rum,,1,9.83 ml,1.6 ml,29.5 ml,29.5 ml,,,,
17135,Citrus Coke,,Soft Drink,,Alcoholic,Highball glass,Pour half of coke in a glass. Then add Bacardi and top it off with the remaining coke. Stir and drink up!,https://www.thecocktaildb.com/images/media/drink/uyrvut1479473214.jpg,Bacardi Limon,Coca-Cola,,,,,29.5 ml ,59 ml ,,,,,,,
11222,Casa Blanca,,Ordinary Drink,,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/usspxq1441553762.jpg,Light rum,Triple sec,Lime juice,Maraschino liqueur,,,59 ml,15 ml,15 ml,7.5 ml,,,,,
17186,Clover Club,"IBA,Classic",Ordinary Drink,Unforgettables,Alcoholic,Cocktail glass,"Dry shake ingredients to emulsify, add ice, shake and served straight up.",https://www.thecocktaildb.com/images/media/drink/t0aja61504348715.jpg,Gin,Grenadine,Lemon juice,Egg white,,,44.25 ml,10 ml ,25 ml ,1,,,,,
13206,Caipirissima,,Ordinary Drink,,Alcoholic,Collins glass,Same as Caipirinha but instead of cachaca you add WHITE RUM. It's great!!!!!!!!,https://www.thecocktaildb.com/images/media/drink/yd47111503565515.jpg,Lime juice,Sugar,White Rum,Ice,,,25 ml, 20 gr,88.5 ml,3,,,,,
11251,City Slicker,,Ordinary Drink,,Alcoholic,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/dazdlg1504366949.jpg,Brandy,Triple sec,Lemon juice,,,,59 ml,14.75 ml,15 ml ,,,,,,
16047,Campari Beer,,Beer,,Alcoholic,Beer mug,Use a 1147.5 ml glass. Add Campari first. Fill with beer.,https://www.thecocktaildb.com/images/media/drink/xsqrup1441249130.jpg,Lager,Campari,,,,,355 ml,15 ml,,,,,,,
11242,Chicago Fizz,,Ordinary Drink,,Alcoholic,Highball glass,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",https://www.thecocktaildb.com/images/media/drink/qwvwqr1441207763.jpg,Light rum,Port,Lemon juice ,Powdered sugar,Egg white,Carbonated water,29.5 ml,29.5 ml,25 ml,3.5 gr ,1,29.5 ml,,,
17196,Cosmopolitan,"IBA,ContemporaryClassic",Cocktail,Contemporary Classics,Alcoholic,Cocktail glass,Add all ingredients into cocktail shaker filled with ice. Shake well and double strain into large cocktail glass. Garnish with lime wheel.,https://www.thecocktaildb.com/images/media/drink/kpsajh1504368362.jpg,Vodka,Lime juice,Cointreau,Cranberry juice,,,36.8 ml,7.38 ml,7.38 ml,7.5 ml,,,,,
12800,Coffee-Vodka,,Homemade Liqueur,,Alcoholic,Collins glass,"Boil water and sugar until dissolved. Turn off heat. Slowly add dry instant coffee and continue stirring. Add a chopped vanilla bean to the vodka, then combine the cooled sugar syrup and coffee solution with the vodka. Cover tightly and shake vigorously each day for 3 weeks. Strain and filter. Its also best to let the sugar mixture cool completely so the vodka won't evaporate when its added. If you like a smoother feel to the liqueur you can add about 1 teaspoon of glycerine to the finished product.",https://www.thecocktaildb.com/images/media/drink/qvrrvu1472667494.jpg,Water,Sugar,Coffee,Vanilla,Vodka,Caramel ,60 ml,60 gr,15 ml,1,45 ml,5 ml,,,
11224,Casino Royale,,Ordinary Drink,,Alcoholic,Old-fashioned glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.",https://www.thecocktaildb.com/images/media/drink/3qpv121504366699.jpg,Gin,Lemon juice,Maraschino liqueur,Orange bitters,Egg yolk,,59 ml,14.75 ml,5 ml,0.8 ml,1,,,,
17250,Corpse Reviver,,Cocktail,,Alcoholic,Cocktail glass,"Shake, strain, straight up, cocktail glass rinsed with absinthe
",https://www.thecocktaildb.com/images/media/drink/gifgao1513704334.jpg,Gin,Triple sec,Lillet Blanc,Lemon juice,Absinthe,,22.14 ml,22.14 ml,22.14 ml,22.14 ml,0.8 ml,,,,
13328,Chocolate Milk,,Shot,,Alcoholic,Shot glass,"Put the milk in the bottom, pour the Liquer on top and add the dash of amaretto. Do not mix. SLAM IT!",https://www.thecocktaildb.com/images/media/drink/j6q35t1504889399.jpg,Chocolate liqueur,Milk,Amaretto,,,,12.5 ml,12.5 ml,0.8 ml,,,,,,
11255,Clove Cocktail,,Ordinary Drink,,Alcoholic,Cocktail glass,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/qxvtst1461867579.jpg,Vermouth,Sloe Gin,Muscatel wine,,,,29.5 ml,14.75 ml,14.75 ml ,,,,,,
12798,Coffee Liqueur,,Homemade Liqueur,,Alcoholic,Collins glass,"Combine coffee, sugar and water. Simmer 1 hour and let cool. Add vanilla and vodka. Age in sealed jar 2 to 3 weeks.",https://www.thecocktaildb.com/images/media/drink/ryvtsu1441253851.jpg,Coffee,Vanilla extract,Sugar,Vodka,Water,,150 ml,60 ml,65 gr,25 ml,75 ml,,,,
17108,Coke and Drops,,Soft Drink,,Non alcoholic,Cocktail glass,"Take a glass, pour the Coke in the glass, then you take 7 drops of Lemon juice. Granish with a Lemon slice on the rim of the glass.",https://www.thecocktaildb.com/images/media/drink/yrtxxp1472719367.jpg,Coca-Cola,Lemon juice,Lemon  ,,,,100 ml,3 ml,1,,,,,,
17187,Derby,"Classic,IBA",Ordinary Drink,Unforgettables,Alcoholic,Cocktail glass,Pour all ingredients into a mixing glass with ice. Stir. Strain into a cocktail glass. Garnish with a sprig of fresh mint in the drink.,https://www.thecocktaildb.com/images/media/drink/52weey1606772672.jpg,Gin,Peach Bitters,Mint,,,,60 ml,3.6 ml,2,,,,,,
13128,Diesel,,Beer,,Alcoholic,Pint glass,Pour the lager first then add the blackcurrant cordial. Top up with the cider. The colour should be very dark approaching the colour of Guiness.,https://www.thecocktaildb.com/images/media/drink/sxrrqq1454512852.jpg,Lager,Cider,Blackcurrant cordial,Apple ,,,100 ml,100 ml,20 ml,1,,,,,
15409,Danbooka,,Coffee / Tea,,Alcoholic,Coffee mug,pour it in and mix it.,https://www.thecocktaildb.com/images/media/drink/vurrxr1441246074.jpg,Coffee,Everclear,,,,,88.5 ml,29.5 ml,,,,,,,
16991,Downshift,,Punch / Party Drink,,Alcoholic,Hurricane glass,"Start with the Sprite. Next comes the tequila. After that, add the Minute Maid Fruit Punch, then float the 151. Rocks optional.",https://www.thecocktaildb.com/images/media/drink/y36z8c1503563911.jpg,Fruit punch,Sprite,Tequila,151 proof rum,,,59 ml,29.5 ml,50 ml,29.5 ml ,,,,,
11320,Dragonfly,,Ordinary Drink,,Alcoholic,Highball glass,"In a highball glass almost filled with ice cubes, combine the Gin and Ginger ale. Stir well. Garnish with the lime wedge.",https://www.thecocktaildb.com/images/media/drink/uc63bh1582483589.jpg,Gin,Ginger ale,Lime,,,,44.25 ml,118 ml,1,,,,,,
11005,Dry Martini,"IBA,Classic,Christmas,Alcoholic",Cocktail,Unforgettables,Alcoholic,Cocktail glass,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from Lemon peel onto the drink, or garnish with olive.",https://www.thecocktaildb.com/images/media/drink/6ck9yi1589574317.jpg,Gin,Vermouth,Olive,,,,50 ml,10 ml,1,,,,,,
11324,Dry Rob Roy,,Ordinary Drink,,Alcoholic,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine the Scotch and vermouth. Stir well. Strain into a cocktail glass. Garnish with the Lemon twist.",https://www.thecocktaildb.com/images/media/drink/typuyq1439456976.jpg,Scotch,Vermouth,Lemon peel,,,,73.75 ml,7.5 ml,1,,,,,,
17181,Dirty Martini,"IBA,NewEra",Cocktail,New Era Drinks,Alcoholic,Cocktail glass,"Pour the vodka, dry vermouth and olive brine into a cocktail shaker with a handful of ice and shake well.
Rub the rim of a martini glass with the wedge of Lemon.
Strain the contents of the cocktail shaker into the glass and add the olive.
A dirty Martini contains a splash of olive brine or olive juice and is typically garnished with an olive.",https://www.thecocktaildb.com/images/media/drink/vcyvpq1485083300.jpg,Vodka,Vermouth,Olive Brine,Lemon juice,Olive,,70ml,15 ml,30 ml,25 ml,1,,,,
14482,Darkwood Sling,,Soft Drink,,Alcoholic,Cocktail glass,"There are many good cherry liqueurs you can use, but I prefere Heering. Add one share of the liqueur. Then you add one share of Soda. For a sour sling use Tonic (most people prefer the drink without Tonic). Afterwards you fill the glass with Orange juice and ice cubes.",https://www.thecocktaildb.com/images/media/drink/sxxsyq1472719303.jpg,Cherry Heering,Soda Water,Orange juice,Ice,,,29.5 ml,29.5 ml,29.5 ml,3,,,,,
17211,Dark and Stormy,"IBA,NewEra",Ordinary Drink,New Era Drinks,Alcoholic,Highball glass,In a highball glass filled with ice add 6cl dark rum and top with Ginger beer. Garnish with lime wedge.,https://www.thecocktaildb.com/images/media/drink/t1tn0s1504374905.jpg,Dark rum,Ginger Beer,,,,,50 ml,100 ml,,,,,,,
